title,release_date,popularity,vote_average,vote_count
Henry Danger: The Movie,2025-01-17,5.846,7.681,252
Blade: Trinity,2004-12-08,5.5976,5.858,4239
57 Seconds,2023-09-29,4.8792,6.138,616
Spaceways,1953-08-07,5.9915,4.5,14
"Canadian, Sniper",2023-10-25,5.1058,4.6,4
Hollow Man,2000-08-04,5.5656,5.958,2709
Outbreak,1995-03-10,5.5757,6.561,2443
Fantastic Four: Rise of the Silver Surfer,2007-06-15,5.0727,5.63,8314
The Platform 2,2024-10-01,5.7778,5.57,1384
Planet of the Apes,2001-07-27,5.9935,5.763,4352
The Happening,2008-06-13,5.3376,5.393,3890
Carriers,2009-09-04,5.4613,6.051,1477
Doraemon the Movie: Nobita's Earth Symphony,2024-03-01,4.8581,6.7,31
Underworld: Blood Wars,2017-01-06,5.2451,5.9,3892
Resident Evil,2002-03-15,5.9455,6.65,6805
Evangelion: 1.0 You Are (Not) Alone,2009-03-28,5.1073,7.595,1065
Mobile Suit Gundam Hathaway,2021-07-01,4.9364,7.2,140
The 5th Wave,2016-01-15,5.3956,5.9,5957
Close Encounters of the Third Kind,1977-12-14,5.6276,7.353,4569
The Adam Project,2022-03-11,5.4489,7.0,4827
Godzilla: The Planet Eater,2019-01-09,5.1274,6.525,394
Transcendence,2014-04-17,4.4644,6.064,5734
Small Soldiers,1998-07-10,4.7251,6.553,2282
Evangelion: 2.0 You Can (Not) Advance,2009-10-24,5.5291,7.798,977
Aliens vs Predator: Requiem,2007-12-25,5.5507,5.177,3255
The Book of Eli,2010-01-15,7.2659,6.791,6574
Total Recall,2012-08-03,5.646,6.027,5799
Left Behind,2014-10-03,5.5083,4.266,1381
Battle: Los Angeles,2011-03-08,5.3686,5.813,3668
Detective Conan: The Phantom of Baker Street,2002-04-20,4.1442,7.77,226
Snow Shark: Ancient Snow Beast,2011-10-12,4.2068,3.364,11
The Animal,2001-06-01,5.4832,5.127,1343
Storm Rider: Legend of Hammerhead,2026-03-13,4.7434,0.0,0
Alienoid,2022-08-26,4.9825,6.8,504
The Invasion,2007-08-17,4.8928,6.0,1661
Megalopolis,2024-09-27,5.1343,5.187,964
Under the Skin,2014-04-04,14.878,6.141,3737
